date,up,down,flat,limit_up,limit_down,limit_up_main,limit_down_main,limit_up_other,limit_down_other,median_change
2026-04-24,1994,3085,107,59,24,53,24,6,0,-0.52
2026-04-27,3179,1902,103,67,35,57,35,10,0,0.67
2026-04-28,1660,3410,107,58,29,54,27,4,2,-1.12
2026-04-29,3728,1341,82,99,16,92,11,7,5,1.11
2026-04-30,2658,2375,116,79,14,70,10,9,4,0.12
2026-05-06,3645,1426,108,100,9,88,0,12,9,1.01
2026-05-07,3247,1799,135,100,8,92,4,8,4,0.63
2026-05-08,3369,1687,123,95,2,88,1,7,1,0.67
2026-05-11,3021,2030,126,94,5,79,5,15,0,0.39
2026-05-12,1275,3846,57,57,10,51,7,6,3,-1.49
2026-05-13,3030,2012,140,111,5,102,2,9,3,0.36
2026-05-14,1007,4117,58,56,21,50,18,6,3,-2.00
2026-05-15,1680,3414,88,54,17,46,15,8,2,-0.88
2026-05-18,2306,2762,117,82,19,72,17,10,2,-0.26
2026-05-19,3345,1723,113,90,11,75,9,15,2,0.64
2026-05-20,1593,3537,55,62,23,53,23,9,0,-1.13
2026-05-21,662,4495,31,36,29,34,29,2,0,-3.09
2026-05-22,3721,1353,114,114,5,99,5,15,0,1.25
2026-05-25,2112,2984,94,104,16,92,16,12,0,-0.51
2026-05-26,1299,3825,66,49,17,45,17,4,0,-1.61
