日期,成交额(元),成交额60日均值,成交额10日均值
2026-06-02,2813226571776.00,2593054603605.33,3120051671040.00
2026-06-03,3153419577344.00,2605398498952.53,3137718089728.00
2026-06-04,2779416832000.00,2614731861913.60,3064894233190.40
2026-06-05,3101071861760.00,2621901689378.13,3082508318720.00
2026-06-08,2823644041216.00,2628678682316.80,3042149295104.00
2026-06-09,2666921224192.00,2630986160878.93,2982377365299.20
2026-06-10,2644375621632.00,2634046056209.07,2920789906022.40
2026-06-11,2575141570560.00,2636673296896.00,2879544317542.40
2026-06-12,3236298917888.00,2651609740544.00,2869048992153.60
2026-06-15,3050925420544.00,2665379727820.80,2884444163891.20
2026-06-16,3086508910592.00,2682467916902.40,2911772397772.80
2026-06-17,3114284689408.00,2698914791270.40,2907858908979.20
2026-06-18,3332152129536.00,2716065843200.00,2963132438732.80
2026-06-22,3762423205888.00,2737964683605.33,3029267573145.60
2026-06-23,3466298570752.00,2760799224610.13,3093533026099.20
2026-06-24,3307180675072.00,2779368055552.00,3157558971187.20
2026-06-25,3619228684288.00,2807069671714.13,3255044277452.80
2026-06-26,3575720708096.00,2835598430549.33,3355102191206.40
